Position, TimeStamp, PropId, EOSUsername, UPXCost
90142197,2021-09-18T03:32:40.500,79520616529774,u4j3i2cux22r,20.00 UPX
90142223,2021-09-18T03:32:45.500,79520616529774,u4j3i2cux22r,20.00 UPX
90142252,2021-09-18T03:32:50.500,79520616529774,u4j3i2cux22r,20.00 UPX
90142889,2021-09-18T03:35:35.500,79520616529774,u4j3i2cux22r,20.00 UPX
90142952,2021-09-18T03:35:52.000,79520616529774,u4j3i2cux22r,20.00 UPX
90142977,2021-09-18T03:35:58.000,79520616529774,u4j3i2cux22r,20.00 UPX
90143007,2021-09-18T03:36:04.000,79520616529774,u4j3i2cux22r,20.00 UPX
90143055,2021-09-18T03:36:16.500,79520616529774,u4j3i2cux22r,20.00 UPX
90143103,2021-09-18T03:36:28.500,79520616529774,u4j3i2cux22r,20.00 UPX
90143138,2021-09-18T03:36:33.500,79520616529774,u4j3i2cux22r,20.00 UPX
90143649,2021-09-18T03:38:58.000,79520616529774,u4j3i2cux22r,20.00 UPX
90143812,2021-09-18T03:39:29.500,79520616529774,u4j3i2cux22r,20.00 UPX
90143833,2021-09-18T03:39:36.500,79520616529774,u4j3i2cux22r,20.00 UPX
90143841,2021-09-18T03:39:43.000,79520616529774,u4j3i2cux22r,20.00 UPX
90143865,2021-09-18T03:39:50.500,79520616529774,u4j3i2cux22r,20.00 UPX
90143896,2021-09-18T03:39:56.000,79520616529774,u4j3i2cux22r,20.00 UPX
90144441,2021-09-18T03:42:44.500,79520616529774,u4j3i2cux22r,20.00 UPX
90144460,2021-09-18T03:42:55.000,79520616529774,u4j3i2cux22r,20.00 UPX
90144480,2021-09-18T03:43:01.000,79520616529774,u4j3i2cux22r,20.00 UPX
90144501,2021-09-18T03:43:06.500,79520616529774,u4j3i2cux22r,20.00 UPX
90144529,2021-09-18T03:43:16.000,79520616529774,u4j3i2cux22r,20.00 UPX
90144537,2021-09-18T03:43:22.000,79520616529774,u4j3i2cux22r,20.00 UPX
90144569,2021-09-18T03:43:28.000,79520616529774,u4j3i2cux22r,20.00 UPX
90144732,2021-09-18T03:44:14.000,79520616529774,u4j3i2cux22r,20.00 UPX
90145760,2021-09-18T03:50:27.500,81856693908761,ctgfvlkp2cco,5.00 UPX
90145802,2021-09-18T03:50:40.000,81856693908761,ctgfvlkp2cco,5.00 UPX
90145823,2021-09-18T03:50:49.500,81856693908761,ctgfvlkp2cco,5.00 UPX
90145857,2021-09-18T03:50:59.000,81856693908761,ctgfvlkp2cco,5.00 UPX
90145880,2021-09-18T03:51:09.000,81856693908761,ctgfvlkp2cco,5.00 UPX
90145909,2021-09-18T03:51:15.000,81856693908761,ctgfvlkp2cco,5.00 UPX
90147230,2021-09-18T03:56:56.500,81856693908761,ctgfvlkp2cco,5.00 UPX
90147288,2021-09-18T03:57:11.000,81856693908761,ctgfvlkp2cco,5.00 UPX
90149161,2021-09-18T04:03:56.500,78897980593015,yszwr34bs4uw,10.00 UPX
90157102,2021-09-18T04:35:42.000,81378912598000,ng1zefoc3k4p,40.00 UPX
90157203,2021-09-18T04:35:58.500,81378912598000,ng1zefoc3k4p,40.00 UPX
90163664,2021-09-18T05:07:09.000,78053214267194,lseaszyufygi,10.00 UPX
90163701,2021-09-18T05:07:22.500,78053214267194,lseaszyufygi,10.00 UPX
90163734,2021-09-18T05:07:30.500,78053214267194,lseaszyufygi,10.00 UPX
90163779,2021-09-18T05:07:37.500,78053214267194,lseaszyufygi,10.00 UPX
90163809,2021-09-18T05:07:45.500,78053214267194,lseaszyufygi,10.00 UPX
90163833,2021-09-18T05:07:52.500,78053214267194,lseaszyufygi,10.00 UPX
90163858,2021-09-18T05:08:00.000,78053214267194,lseaszyufygi,10.00 UPX
90163871,2021-09-18T05:08:06.500,78053214267194,lseaszyufygi,10.00 UPX
90164352,2021-09-18T05:10:36.500,78053214267194,lseaszyufygi,10.00 UPX
90164403,2021-09-18T05:10:50.500,78053214267194,lseaszyufygi,10.00 UPX
90164423,2021-09-18T05:11:00.000,78053214267194,lseaszyufygi,10.00 UPX
90164457,2021-09-18T05:11:05.000,78053214267194,lseaszyufygi,10.00 UPX
90164468,2021-09-18T05:11:13.000,78053214267194,lseaszyufygi,10.00 UPX
90164510,2021-09-18T05:11:20.500,78053214267194,lseaszyufygi,10.00 UPX
90164526,2021-09-18T05:11:26.500,78053214267194,lseaszyufygi,10.00 UPX
90164579,2021-09-18T05:11:36.500,78053214267194,lseaszyufygi,10.00 UPX
90164968,2021-09-18T05:13:47.000,78053214267194,lseaszyufygi,10.00 UPX
90165127,2021-09-18T05:14:23.500,78053214267194,lseaszyufygi,10.00 UPX
90165164,2021-09-18T05:14:33.500,78053214267194,lseaszyufygi,10.00 UPX
90165187,2021-09-18T05:14:42.000,78053214267194,lseaszyufygi,10.00 UPX
90165214,2021-09-18T05:14:51.000,78053214267194,lseaszyufygi,10.00 UPX
90165249,2021-09-18T05:15:00.500,78053214267194,lseaszyufygi,10.00 UPX
90165283,2021-09-18T05:15:08.500,78053214267194,lseaszyufygi,10.00 UPX
90165611,2021-09-18T05:16:44.000,78053214267194,lseaszyufygi,10.00 UPX
90165644,2021-09-18T05:16:59.000,78053214267194,lseaszyufygi,10.00 UPX
90165666,2021-09-18T05:17:06.000,78053214267194,lseaszyufygi,10.00 UPX
90165678,2021-09-18T05:17:13.500,78053214267194,lseaszyufygi,10.00 UPX
90165705,2021-09-18T05:17:20.500,78053214267194,lseaszyufygi,10.00 UPX
90165725,2021-09-18T05:17:26.500,78053214267194,lseaszyufygi,10.00 UPX
90165750,2021-09-18T05:17:33.500,78053214267194,lseaszyufygi,10.00 UPX
90166813,2021-09-18T05:23:48.500,78053214267194,lseaszyufygi,10.00 UPX
90166866,2021-09-18T05:24:07.000,78053214267194,lseaszyufygi,10.00 UPX
90166879,2021-09-18T05:24:17.000,78053214267194,lseaszyufygi,10.00 UPX
90166903,2021-09-18T05:24:26.500,78053214267194,lseaszyufygi,10.00 UPX
90166995,2021-09-18T05:24:49.500,78053214267194,lseaszyufygi,10.00 UPX
90167412,2021-09-18T05:26:43.500,78053214267194,lseaszyufygi,10.00 UPX
90167436,2021-09-18T05:26:59.500,78053214267194,lseaszyufygi,10.00 UPX
90167519,2021-09-18T05:27:16.000,78053214267194,lseaszyufygi,10.00 UPX
90167544,2021-09-18T05:27:22.000,78053214267194,lseaszyufygi,10.00 UPX
90167563,2021-09-18T05:27:28.500,78053214267194,lseaszyufygi,10.00 UPX
90167586,2021-09-18T05:27:36.000,78053214267194,lseaszyufygi,10.00 UPX
